INFO: TIME: 2021/10/12 08:20:19 Получили по главному state={"tech":0,"base":false,"pk":0,"ck":0,"nk":0,"tmax":0,"comdu":{"IsPK":false,"IsCK":false,"IsNK":false,"IsDUDK1":false,"IsDUDK2":false,"IsReqSFDK1":false,"IsReqSFDK2":false},"dk":{"rdk":0,"fdk":0,"ddk":0,"edk":0,"pdk":false,"eedk":0,"odk":false,"ldk":0,"ftudk":0,"tdk":0,"ftsdk":0,"ttcdk":0}}
INFO: TIME: 2021/10/12 08:20:20 Отправляем по главному give-me-TCPMain
INFO: TIME: 2021/10/12 08:20:20 Получили по главному state={"tech":0,"base":false,"pk":0,"ck":0,"nk":0,"tmax":0,"comdu":{"IsPK":false,"IsCK":false,"IsNK":false,"IsDUDK1":false,"IsDUDK2":false,"IsReqSFDK1":false,"IsReqSFDK2":false},"dk":{"rdk":0,"fdk":0,"ddk":0,"edk":0,"pdk":false,"eedk":0,"odk":false,"ldk":0,"ftudk":0,"tdk":0,"ftsdk":0,"ttcdk":0}}
INFO: TIME: 2021/10/12 08:20:21 Отправляем по главному give-me-TCPSec
INFO: TIME: 2021/10/12 08:20:22 Получили по главному state={"tech":0,"base":false,"pk":0,"ck":0,"nk":0,"tmax":0,"comdu":{"IsPK":false,"IsCK":false,"IsNK":false,"IsDUDK1":false,"IsDUDK2":false,"IsReqSFDK1":false,"IsReqSFDK2":false},"dk":{"rdk":0,"fdk":0,"ddk":0,"edk":0,"pdk":false,"eedk":0,"odk":false,"ldk":0,"ftudk":0,"tdk":0,"ftsdk":0,"ttcdk":0}}
INFO: TIME: 2021/10/12 08:20:22 Exit ag-server working...
INFO: TIME: 2021/10/12 08:20:30 Start new-server work...
INFO: TIME: 2021/10/12 08:20:37 Новое соединение 192.168.115.158:52434
INFO: TIME: 2021/10/12 08:20:37 Первый  основного connect,8,ETH
INFO: TIME: 2021/10/12 08:20:38 Отправляем по главному ok,127,5,1634005237

INFO: TIME: 2021/10/12 08:20:39 Получили по главному confirm=good
INFO: TIME: 2021/10/12 08:20:42 Очень долго не отвечает 8
INFO: TIME: 2021/10/12 08:20:44 KEEP Alive для 8
INFO: TIME: 2021/10/12 08:20:44 Команда give-me-SetupDK для 8
INFO: TIME: 2021/10/12 08:20:44 Команда give-me-TCPMain для 8
INFO: TIME: 2021/10/12 08:20:44 Команда give-me-TCPSec для 8
INFO: TIME: 2021/10/12 08:20:44 Команда give-me-Cameras для 8
INFO: TIME: 2021/10/12 08:20:45 Отправляем по главному give_me_status,1634005244
INFO: TIME: 2021/10/12 08:20:45 Получили по главному state={"tech":0,"base":false,"pk":0,"ck":0,"nk":0,"tmax":0,"comdu":{"IsPK":false,"IsCK":false,"IsNK":false,"IsDUDK1":false,"IsDUDK2":false,"IsReqSFDK1":false,"IsReqSFDK2":false},"dk":{"rdk":0,"fdk":0,"ddk":0,"edk":0,"pdk":false,"eedk":0,"odk":false,"ldk":0,"ftudk":0,"tdk":0,"ftsdk":0,"ttcdk":0}}
INFO: TIME: 2021/10/12 08:20:46 Отправляем по главному give-me-SetupDK
INFO: TIME: 2021/10/12 08:20:47 Получили по главному state={"tech":0,"base":false,"pk":0,"ck":0,"nk":0,"tmax":0,"comdu":{"IsPK":false,"IsCK":false,"IsNK":false,"IsDUDK1":false,"IsDUDK2":false,"IsReqSFDK1":false,"IsReqSFDK2":false},"dk":{"rdk":0,"fdk":0,"ddk":0,"edk":0,"pdk":false,"eedk":0,"odk":false,"ldk":0,"ftudk":0,"tdk":0,"ftsdk":0,"ttcdk":0}}
INFO: TIME: 2021/10/12 08:20:48 Отправляем по главному give-me-TCPMain
INFO: TIME: 2021/10/12 08:20:48 Получили по главному state={"tech":0,"base":false,"pk":0,"ck":0,"nk":0,"tmax":0,"comdu":{"IsPK":false,"IsCK":false,"IsNK":false,"IsDUDK1":false,"IsDUDK2":false,"IsReqSFDK1":false,"IsReqSFDK2":false},"dk":{"rdk":0,"fdk":0,"ddk":0,"edk":0,"pdk":false,"eedk":0,"odk":false,"ldk":0,"ftudk":0,"tdk":0,"ftsdk":0,"ttcdk":0}}
INFO: TIME: 2021/10/12 08:20:49 Отправляем по главному give-me-TCPSec
